1,1,2,2,5,4,unacc
1,1,2,2,5,3,unacc
1,1,2,2,5,2,unacc
1,1,2,2,3,4,unacc
1,1,2,2,3,3,unacc
1,1,2,2,3,2,unacc
1,1,2,2,6,4,unacc
1,1,2,2,6,3,unacc
1,1,2,2,6,2,unacc
1,1,2,4,5,4,unacc
1,1,2,4,5,3,unacc
1,1,2,4,5,2,unacc
1,1,2,4,3,4,unacc
1,1,2,4,3,3,unacc
1,1,2,4,3,2,unacc
1,1,2,4,6,4,unacc
1,1,2,4,6,3,unacc
1,1,2,4,6,2,unacc
1,1,2,7,5,4,unacc
1,1,2,7,5,3,unacc
1,1,2,7,5,2,unacc
1,1,2,7,3,4,unacc
1,1,2,7,3,3,unacc
1,1,2,7,3,2,unacc
1,1,2,7,6,4,unacc
1,1,2,7,6,3,unacc
1,1,2,7,6,2,unacc
1,1,3,2,5,4,unacc
1,1,3,2,5,3,unacc
1,1,3,2,5,2,unacc
1,1,3,2,3,4,unacc
1,1,3,2,3,3,unacc
1,1,3,2,3,2,unacc
1,1,3,2,6,4,unacc
1,1,3,2,6,3,unacc
1,1,3,2,6,2,unacc
1,1,3,4,5,4,unacc
1,1,3,4,5,3,unacc
1,1,3,4,5,2,unacc
1,1,3,4,3,4,unacc
1,1,3,4,3,3,unacc
1,1,3,4,3,2,unacc
1,1,3,4,6,4,unacc
1,1,3,4,6,3,unacc
1,1,3,4,6,2,unacc
1,1,3,7,5,4,unacc
1,1,3,7,5,3,unacc
1,1,3,7,5,2,unacc
1,1,3,7,3,4,unacc
1,1,3,7,3,3,unacc
1,1,3,7,3,2,unacc
1,1,3,7,6,4,unacc
1,1,3,7,6,3,unacc
1,1,3,7,6,2,unacc
1,1,4,2,5,4,unacc
1,1,4,2,5,3,unacc
1,1,4,2,5,2,unacc
1,1,4,2,3,4,unacc
1,1,4,2,3,3,unacc
1,1,4,2,3,2,unacc
1,1,4,2,6,4,unacc
1,1,4,2,6,3,unacc
1,1,4,2,6,2,unacc
1,1,4,4,5,4,unacc
1,1,4,4,5,3,unacc
1,1,4,4,5,2,unacc
1,1,4,4,3,4,unacc
1,1,4,4,3,3,unacc
1,1,4,4,3,2,unacc
1,1,4,4,6,4,unacc
1,1,4,4,6,3,unacc
1,1,4,4,6,2,unacc
1,1,4,7,5,4,unacc
1,1,4,7,5,3,unacc
1,1,4,7,5,2,unacc
1,1,4,7,3,4,unacc
1,1,4,7,3,3,unacc
1,1,4,7,3,2,unacc
1,1,4,7,6,4,unacc
1,1,4,7,6,3,unacc
1,1,4,7,6,2,unacc
1,1,8,2,5,4,unacc
1,1,8,2,5,3,unacc
1,1,8,2,5,2,unacc
1,1,8,2,3,4,unacc
1,1,8,2,3,3,unacc
1,1,8,2,3,2,unacc
1,1,8,2,6,4,unacc
1,1,8,2,6,3,unacc
1,1,8,2,6,2,unacc
1,1,8,4,5,4,unacc
1,1,8,4,5,3,unacc
1,1,8,4,5,2,unacc
1,1,8,4,3,4,unacc
1,1,8,4,3,3,unacc
1,1,8,4,3,2,unacc
1,1,8,4,6,4,unacc
1,1,8,4,6,3,unacc
1,1,8,4,6,2,unacc
1,1,8,7,5,4,unacc
1,1,8,7,5,3,unacc
1,1,8,7,5,2,unacc
1,1,8,7,3,4,unacc
1,1,8,7,3,3,unacc
1,1,8,7,3,2,unacc
1,1,8,7,6,4,unacc
1,1,8,7,6,3,unacc
1,1,8,7,6,2,unacc
1,2,2,2,5,4,unacc
1,2,2,2,5,3,unacc
1,2,2,2,5,2,unacc
1,2,2,2,3,4,unacc
1,2,2,2,3,3,unacc
1,2,2,2,3,2,unacc
1,2,2,2,6,4,unacc
1,2,2,2,6,3,unacc
1,2,2,2,6,2,unacc
1,2,2,4,5,4,unacc
1,2,2,4,5,3,unacc
1,2,2,4,5,2,unacc
1,2,2,4,3,4,unacc
1,2,2,4,3,3,unacc
1,2,2,4,3,2,unacc
1,2,2,4,6,4,unacc
1,2,2,4,6,3,unacc
1,2,2,4,6,2,unacc
1,2,2,7,5,4,unacc
1,2,2,7,5,3,unacc
1,2,2,7,5,2,unacc
